country,year,population,gdp,energy_per_capita,energy_per_gdp,electricity_generation,renewables_electricity,fossil_electricity,carbon_intensity_elec,renewable_ratio,fossil_ratio,gdp_per_capita,energy_efficiency_score,carbon_risk_score
Argentina,1954,1.8443E7,1.53E11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8295.830396356341,0.0,0.0
Argentina,1971,2.426E7,3.09E11,14751.983,1.158,0.0,0.0,0.0,0.0,0.0,0.0,12737.015663643859,2.0946336502692554E7,0.0
Argentina,1982,2.8795E7,3.77E11,15782.359,1.205,0.0,0.0,0.0,0.0,0.0,0.0,13092.55079006772,2.388743026311846E7,0.0
Argentina,2010,4.0896E7,7.72E11,21919.694,1.161,119.626,34.21,78.725,0.0,0.28597462090181064,0.6580927223178907,18877.15179968701,3.5219469760846116E7,0.0
Argentina,2020,0.0,0.0,0.0,0.0,135.149,33.511,91.627,0.0,0.2479559597185329,0.67797024025335,0.0,0.0,0.0
Armenia,2001,3051000.0,1.0404185088E10,9272.737,2.719,5.568,0.958,2.623,0.0,0.17205459770114942,0.4710847701149426,3410.090163225172,1122018.783450884,0.0
Asia Pacific,1994,0.0,0.0,0.0,0.0,3175.682,470.306,2315.695,0.0,0.1480960625150755,0.7291961222817651,0.0,0.0,0.0
Australia,1938,6915804.0,7.7877116928E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11260.746679344875,0.0,0.0
Australia,1967,1.19E7,2.12E11,39631.108,2.225,0.0,0.0,0.0,0.0,0.0,0.0,17815.126050420167,5349333.155156802,0.0
Australia,1985,1.5664E7,3.8E11,56955.782,2.348,123.673,14.397,105.542,0.0,0.1164118279656837,0.8533956482013051,24259.448416751788,6671842.377653598,0.0
Australia,1987,1.6183E7,4.15E11,58517.138,2.282,135.815,14.084,117.136,0.0,0.10369988587416706,0.8624673268784744,25644.194525118954,7091939.458829992,0.0
Australia,2000,1.8991E7,6.8E11,69164.691,1.932,198.16,17.422,180.738,0.0,0.08791885345175617,0.9120811465482439,35806.434626928545,9831606.129780872,0.0
Australia,2001,1.9195E7,6.94E11,69059.245,1.91,211.738,18.001,193.737,0.0,0.08501544361427803,0.914984556385722,36155.24876269862,1.004934241606609E7,0.0
Australia,2019,2.5203E7,0.0,70644.033,0.0,253.679,54.4,199.279,0.0,0.21444423858498338,0.7855557614150166,0.0,0.0,0.0
Austria,1941,6744050.0,3.3205635072E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4923.693488630719,0.0,0.0
Austria,1970,7516000.0,1.01E11,33306.822,2.479,0.0,0.0,0.0,0.0,0.0,0.0,13437.998935604044,3032411.7983997394,0.0
Austria,1976,7641000.0,1.27E11,37587.795,2.261,0.0,0.0,0.0,0.0,0.0,0.0,16620.86114382934,3378756.3223647466,0.0
Austria,1986,7625000.0,1.49E11,40703.337,2.083,44.653,32.191,0.0,0.0,0.7209146082010168,0.0,19540.983606557376,3660633.5249613565,0.0
Austria,2018,8891000.0,0.0,44905.628,0.0,65.006,50.036,14.97,102.0,0.7697135649017014,0.23028643509829863,0.0,0.0,23.48921638002646
Azerbaijan,2018,9950000.0,0.0,17180.551,0.0,23.819,2.033,21.786,0.0,0.08535202989210294,0.9146479701078971,0.0,0.0,0.0
Bahamas,1987,243000.0,0.0,43691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1910,80493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1914,82611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1915,83384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1944,109269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1957,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,1988,465000.0,7.061732864E9,144428.294,9.51,0.0,0.0,0.0,0.0,0.0,0.0,15186.522288172044,48894.38674668552,0.0
Bahrain,1990,496000.0,7.888500224E9,151532.75,9.528,0.0,0.0,0.0,0.0,0.0,0.0,15904.234322580645,52058.05493531926,0.0
Bahrain,1996,579000.0,8.932365312E9,144023.901,9.336,0.0,0.0,0.0,0.0,0.0,0.0,15427.228518134714,62020.02063532496,0.0
Bahrain,2011,1278000.0,4.7938297856E10,133368.644,3.556,22.88,0.002,22.878,0.0,8.741258741258741E-5,0.9999125874125875,37510.405208137716,359442.0428837831,0.0
Bahrain,2014,1336000.0,5.2947091456E10,149096.597,3.762,25.627,0.009,25.618,0.0,3.5119210207983765E-4,0.9996488078979201,39631.056479041916,355119.38247658324,0.0
Bahrain,2018,1569000.0,0.0,0.0,0.0,27.782,0.009,27.773,0.0,3.2395075948455835E-4,0.9996760492405155,0.0,0.0,0.0
Bangladesh,1914,3.1620188E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1922,3.2893496E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1937,3.6491124E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1943,3.765806E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1946,3.7511344E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1949,3.749304E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1965,5.5385E7,8.0901128192E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.7046707953416,0.0,0.0
Bangladesh,1976,7.1652E7,8.6459129856E10,368.549,0.305,0.0,0.0,0.0,0.0,0.0,0.0,1206.6534061296265,2.345933101324383E8,0.0
Bangladesh,1984,8.8417E7,1.14E11,489.519,0.38,0.0,0.0,0.0,0.0,0.0,0.0,1289.3448092561384,2.32881665471616E8,0.0
Bangladesh,1987,9.5671E7,1.23E11,605.115,0.471,5.587,0.517,0.0,0.0,0.09253624485412566,0.0,1285.6560504228032,2.032671475669914E8,0.0
Bangladesh,2014,1.54516992E8,4.66E11,2025.167,0.672,52.597,0.796,51.802,0.0,0.015133943000551363,0.9848850694906554,3015.849544883711,2.3010448027249113E8,0.0
Barbados,1983,255000.0,2.58212992E9,18886.833,1.865,0.0,0.0,0.0,0.0,0.0,0.0,10125.99968627451,136715.8760815008,0.0
Barbados,1988,259000.0,3.661580032E9,18438.708,1.304,0.0,0.0,0.0,0.0,0.0,0.0,14137.37464092664,198581.160458748,0.0
Barbados,1991,262000.0,4.324509184E9,21251.433,1.288,0.0,0.0,0.0,0.0,0.0,0.0,16505.76024427481,203492.591958387,0.0
Barbados,1999,270000.0,5.623254016E9,24017.953,1.153,0.0,0.0,0.0,0.0,0.0,0.0,20826.866725925927,234127.11383022522,0.0
Barbados,2010,282000.0,4.133272064E9,26169.532,1.785,0.968,0.002,0.966,0.0,0.002066115702479339,0.9979338842975206,14656.993134751772,157942.14676823415,0.0
Barbados,2016,286000.0,2.956559872E9,25106.714,2.429,1.013,0.03,0.983,0.0,0.029615004935834157,0.970384995064166,10337.62193006993,117759.73040518166,0.0
Barbados,2018,287000.0,0.0,0.0,0.0,1.01,0.037,0.973,0.0,0.03663366336633663,0.9633663366336633,0.0,0.0,0.0
Belarus,1985,9901000.0,1.23E11,41212.044,3.317,33.175,0.02,0.0,0.0,6.028636021100227E-4,0.0,12422.987577012424,2984564.4151986246,0.0
Belarus,2002,9746000.0,8.5045567488E10,26305.842,3.015,24.869,0.028,24.841,0.0,0.001125899714504001,0.9988741002854961,8726.202286886928,3232953.6339494474,0.0
Belgium,1909,7449502.0,5.0633539584E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6796.902609597259,0.0,0.0
Belgium,1915,7749263.0,4.642209792E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5990.517797627981,0.0,0.0
Belgium,1939,8372066.0,5.0830344192E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6071.4218201337635,0.0,0.0
Belgium,1954,8833000.0,7.0790111232E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8014.277282010642,0.0,0.0
Belgium,1962,9284000.0,9.62820096E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10370.746402412753,0.0,0.0
Belgium,1998,1.0237E7,3.05E11,72443.804,2.431,83.183,0.759,0.0,0.0,0.00912446052679033,0.0,29793.88492722477,4210159.919266526,0.0
Belgium,2000,1.0282E7,3.43E11,73153.564,2.193,82.773,1.044,33.572,270.0,0.012612808524518865,0.40559119519650133,33359.26862478117,4688766.7701330315,109.50962270305536
Belize,1990,188000.0,0.0,7572.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,2014,353000.0,0.0,8061.502,0.0,0.362,0.354,0.008,0.0,0.9779005524861878,0.022099447513812157,0.0,0.0,0.0
Benin,1990,4978000.0,5.834200064E9,476.073,0.406,0.0,0.0,0.0,0.0,0.0,0.0,1171.9967987143432,1.2254843404267833E7,0.0
Benin,1999,6664000.0,8.854473728E9,341.887,0.257,0.0,0.0,0.0,0.0,0.0,0.0,1328.7025402160864,2.5898831274660926E7,0.0
Benin,2003,7521000.0,1.2538386432E10,1313.939,0.788,0.075,0.002,0.073,0.0,0.02666666666666667,0.9733333333333333,1667.1169301954528,9542594.010833075,0.0
Benin,2006,8217000.0,1.4626272256E10,1640.792,0.922,0.146,0.005,0.141,0.0,0.03424657534246576,0.9657534246575342,1780.0014915419254,8914153.808648506,0.0
Bermuda,1981,58000.0,0.0,35402.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
