Model,RMSE,MAE,R2
Linear_Regression,81.36801942598974,26.398010058489653,0.047807632699027436
Decision_Tree,66.29765073879122,13.324856127724257,0.36785969046785594
Random_Forest,65.91591937226079,14.552616503443755,0.37511826073467935
Gradient_Boosted_Trees,57.90458215878722,12.320396990084673,0.5177823857526125
Generalized_Linear_Reg,81.36801942598974,26.398010058489653,0.047807632699027436
